County,District,testAdministration,Subject,GradeLevel,StudentGroup,countMetStandardIncludingPP,PercentMetStandardIncludingPP
Snohomish County,Arlington School District,SBA,MATH,3,All,220,57.7
Snohomish County,Arlington School District,SBA,MATH,4,All,265,60.9
Snohomish County,Arlington School District,SBA,MATH,5,All,165,42.6
Snohomish County,Arlington School District,SBA,MATH,6,All,199,47.8
Snohomish County,Arlington School District,SBA,MATH,7,All,215,49.3
Snohomish County,Arlington School District,SBA,MATH,8,All,183,44.2
Snohomish County,Arlington School District,SBA,MATH,11,All,149,36.4
Snohomish County,Arlington School District,AIM,ELA,3,All,,
Snohomish County,Arlington School District,AIM,ELA,4,All,,
Snohomish County,Arlington School District,AIM,ELA,5,All,,
Snohomish County,Arlington School District,AIM,ELA,6,All,,
Snohomish County,Arlington School District,AIM,ELA,7,All,,
Snohomish County,Arlington School District,AIM,ELA,8,All,,
Snohomish County,Arlington School District,AIM,ELA,11,All,,
Snohomish County,Arlington School District,AIM,Math,3,All,,
Snohomish County,Arlington School District,AIM,Math,4,All,,
Snohomish County,Arlington School District,AIM,Math,5,All,,
Snohomish County,Arlington School District,AIM,Math,6,All,,
Snohomish County,Arlington School District,AIM,Math,7,All,,
Snohomish County,Arlington School District,AIM,Math,8,All,,
Snohomish County,Arlington School District,AIM,Math,11,All,,
Snohomish County,Arlington School District,AIM,Science,5,All,,
Snohomish County,Arlington School District,AIM,Science,8,All,,
Snohomish County,Arlington School District,EOC,Biology,10,All,354,79.5
Snohomish County,Arlington School District,MSP,Science,5,All,268,69.2
Snohomish County,Arlington School District,MSP,Science,8,All,304,73.6
Asotin County,Asotin-Anatone School District,SBA,ELA,3,All,30,54.5
Asotin County,Asotin-Anatone School District,SBA,ELA,4,All,31,68.8
Asotin County,Asotin-Anatone School District,SBA,ELA,5,All,33,71.7
Asotin County,Asotin-Anatone School District,SBA,ELA,6,All,32,60.3
Asotin County,Asotin-Anatone School District,SBA,ELA,7,All,38,64.4
Asotin County,Asotin-Anatone School District,SBA,ELA,8,All,31,58.4
Asotin County,Asotin-Anatone School District,SBA,ELA,11,All,,
Asotin County,Asotin-Anatone School District,SBA,MATH,3,All,35,63.6
Asotin County,Asotin-Anatone School District,SBA,MATH,4,All,31,68.8
Asotin County,Asotin-Anatone School District,SBA,MATH,5,All,28,60.8
Asotin County,Asotin-Anatone School District,SBA,MATH,6,All,30,56.6
Asotin County,Asotin-Anatone School District,SBA,MATH,7,All,37,62.7
Asotin County,Asotin-Anatone School District,SBA,MATH,8,All,32,60.3
Asotin County,Asotin-Anatone School District,SBA,MATH,11,All,24,48.9
Asotin County,Asotin-Anatone School District,EOC,Biology,10,All,50,79.3
Asotin County,Asotin-Anatone School District,MSP,Science,5,All,37,80.4
Asotin County,Asotin-Anatone School District,MSP,Science,8,All,34,64.1
King County,Auburn School District,SBA,ELA,3,All,686,53.3
King County,Auburn School District,SBA,ELA,4,All,723,59.7
King County,Auburn School District,SBA,ELA,5,All,726,60.9
King County,Auburn School District,SBA,ELA,6,All,538,48.4
King County,Auburn School District,SBA,ELA,7,All,610,54.3
King County,Auburn School District,SBA,ELA,8,All,552,51.3
King County,Auburn School District,SBA,ELA,11,All,900,71.7
King County,Auburn School District,SBA,MATH,3,All,852,65.8
King County,Auburn School District,SBA,MATH,4,All,779,64.3
King County,Auburn School District,SBA,MATH,5,All,717,60.2
King County,Auburn School District,SBA,MATH,6,All,515,46.4
King County,Auburn School District,SBA,MATH,7,All,523,46.6
King County,Auburn School District,SBA,MATH,8,All,387,36
King County,Auburn School District,SBA,MATH,11,All,354,28.6
King County,Auburn School District,AIM,ELA,3,All,,
King County,Auburn School District,AIM,ELA,4,All,12,92.3
King County,Auburn School District,AIM,ELA,5,All,8,66.6
King County,Auburn School District,AIM,ELA,6,All,5,41.6
King County,Auburn School District,AIM,ELA,7,All,1,10
King County,Auburn School District,AIM,ELA,8,All,,
King County,Auburn School District,AIM,ELA,11,All,,
King County,Auburn School District,AIM,Math,3,All,14,82.3
King County,Auburn School District,AIM,Math,4,All,12,92.3
King County,Auburn School District,AIM,Math,5,All,9,75
King County,Auburn School District,AIM,Math,6,All,6,50
King County,Auburn School District,AIM,Math,7,All,5,50
King County,Auburn School District,AIM,Math,8,All,2,12.5
King County,Auburn School District,AIM,Math,11,All,,
King County,Auburn School District,AIM,Science,5,All,10,83.3
King County,Auburn School District,AIM,Science,8,All,9,56.2
King County,Auburn School District,EOC,Biology,10,All,652,54.6
King County,Auburn School District,MSP,Science,5,All,721,60.6
King County,Auburn School District,MSP,Science,8,All,627,58
Kitsap County,Bainbridge Island School District,SBA,ELA,3,All,198,74.1
Kitsap County,Bainbridge Island School District,SBA,ELA,4,All,219,83.9
Kitsap County,Bainbridge Island School District,SBA,ELA,5,All,223,80.5
Kitsap County,Bainbridge Island School District,SBA,ELA,6,All,262,85.9
Kitsap County,Bainbridge Island School District,SBA,ELA,7,All,271,85.4
Kitsap County,Bainbridge Island School District,SBA,ELA,8,All,228,71.6
Kitsap County,Bainbridge Island School District,SBA,ELA,11,All,341,93.9
Kitsap County,Bainbridge Island School District,SBA,MATH,3,All,220,82.3
Kitsap County,Bainbridge Island School District,SBA,MATH,4,All,214,81.9
Kitsap County,Bainbridge Island School District,SBA,MATH,5,All,205,74.2
Kitsap County,Bainbridge Island School District,SBA,MATH,6,All,242,79.3
Kitsap County,Bainbridge Island School District,SBA,MATH,7,All,242,76.5
Kitsap County,Bainbridge Island School District,SBA,MATH,8,All,229,72.2
Kitsap County,Bainbridge Island School District,SBA,MATH,11,All,,
Kitsap County,Bainbridge Island School District,AIM,ELA,3,All,,
Kitsap County,Bainbridge Island School District,AIM,ELA,5,All,,
Kitsap County,Bainbridge Island School District,AIM,ELA,6,All,,
Kitsap County,Bainbridge Island School District,AIM,ELA,7,All,,
Kitsap County,Bainbridge Island School District,AIM,ELA,8,All,,
Kitsap County,Bainbridge Island School District,AIM,ELA,11,All,,
Kitsap County,Bainbridge Island School District,AIM,Math,3,All,,
Kitsap County,Bainbridge Island School District,AIM,Math,5,All,,
Kitsap County,Bainbridge Island School District,AIM,Math,6,All,,
Kitsap County,Bainbridge Island School District,AIM,Math,7,All,,
Kitsap County,Bainbridge Island School District,AIM,Math,8,All,,
Kitsap County,Bainbridge Island School District,AIM,Math,11,All,,
Kitsap County,Bainbridge Island School District,AIM,Science,5,All,,
Kitsap County,Bainbridge Island School District,AIM,Science,8,All,,
Kitsap County,Bainbridge Island School District,EOC,Biology,10,All,,
Kitsap County,Bainbridge Island School District,MSP,Science,5,All,228,82.6
Kitsap County,Bainbridge Island School District,MSP,Science,8,All,245,77
Pierce County,Bates Technical College,SBA,ELA,11,All,12,24.4
Pierce County,Bates Technical College,SBA,MATH,11,All,,
Clark County,Battle Ground School District,SBA,ELA,3,All,508,50.3
Clark County,Battle Ground School District,SBA,ELA,4,All,502,52.1
Clark County,Battle Ground School District,SBA,ELA,5,All,528,55.4
Clark County,Battle Ground School District,SBA,ELA,6,All,560,56.8
Clark County,Battle Ground School District,SBA,ELA,7,All,618,61.4
Clark County,Battle Ground School District,SBA,ELA,8,All,626,60.3
Clark County,Battle Ground School District,SBA,ELA,11,All,850,77.6
Clark County,Battle Ground School District,SBA,MATH,3,All,585,57.9
Clark County,Battle Ground School District,SBA,MATH,4,All,517,53.5
Clark County,Battle Ground School District,SBA,MATH,5,All,399,41.8
Clark County,Battle Ground School District,SBA,MATH,6,All,496,50.5
Clark County,Battle Ground School District,SBA,MATH,7,All,490,48.8
Clark County,Battle Ground School District,SBA,MATH,8,All,519,50
Clark County,Battle Ground School District,SBA,MATH,11,All,339,31.2
Clark County,Battle Ground School District,AIM,ELA,3,All,,
Clark County,Battle Ground School District,AIM,ELA,4,All,,
Clark County,Battle Ground School District,AIM,ELA,5,All,,
Clark County,Battle Ground School District,AIM,ELA,6,All,,
Clark County,Battle Ground School District,AIM,ELA,7,All,,
Clark County,Battle Ground School District,AIM,ELA,8,All,,
Clark County,Battle Ground School District,AIM,ELA,11,All,,
Clark County,Battle Ground School District,AIM,Math,3,All,,
Clark County,Battle Ground School District,AIM,Math,4,All,,
Clark County,Battle Ground School District,AIM,Math,5,All,,
Clark County,Battle Ground School District,AIM,Math,6,All,,
Clark County,Battle Ground School District,AIM,Math,7,All,,
Clark County,Battle Ground School District,AIM,Math,8,All,,
Clark County,Battle Ground School District,AIM,Math,11,All,,
Clark County,Battle Ground School District,AIM,Science,5,All,,
Clark County,Battle Ground School District,AIM,Science,8,All,,
Clark County,Battle Ground School District,EOC,Biology,10,All,782,71.7
Clark County,Battle Ground School District,MSP,Science,5,All,655,68.6
Clark County,Battle Ground School District,MSP,Science,8,All,748,71.9
King County,Bellevue School District,SBA,ELA,3,All,1084,73.9
King County,Bellevue School District,SBA,ELA,4,All,1167,75.4
King County,Bellevue School District,SBA,ELA,5,All,1218,79.9
King County,Bellevue School District,SBA,ELA,6,All,1125,75.9
King County,Bellevue School District,SBA,ELA,7,All,1268,83.1
King County,Bellevue School District,SBA,ELA,8,All,1194,77.9
King County,Bellevue School District,SBA,ELA,11,All,1371,86.8
King County,Bellevue School District,SBA,MATH,3,All,1173,79.5
King County,Bellevue School District,SBA,MATH,4,All,1152,74.1
King County,Bellevue School District,SBA,MATH,5,All,1114,72.7
King County,Bellevue School District,SBA,MATH,6,All,1092,73.5
King County,Bellevue School District,SBA,MATH,7,All,1181,76.7
King County,Bellevue School District,SBA,MATH,8,All,1080,70.1
King County,Bellevue School District,SBA,MATH,11,All,115,7.3
King County,Bellevue School District,AIM,ELA,3,All,8,47
King County,Bellevue School District,AIM,ELA,4,All,7,63.6
King County,Bellevue School District,AIM,ELA,5,All,4,36.3
King County,Bellevue School District,AIM,ELA,6,All,,
King County,Bellevue School District,AIM,ELA,7,All,,
King County,Bellevue School District,AIM,ELA,8,All,7,63.6
King County,Bellevue School District,AIM,ELA,11,All,6,42.8
King County,Bellevue School District,AIM,Math,3,All,7,41.1
King County,Bellevue School District,AIM,Math,4,All,6,54.5
King County,Bellevue School District,AIM,Math,5,All,6,54.5
King County,Bellevue School District,AIM,Math,6,All,,
King County,Bellevue School District,AIM,Math,7,All,,
King County,Bellevue School District,AIM,Math,8,All,4,36.3
King County,Bellevue School District,AIM,Math,11,All,9,64.2
King County,Bellevue School District,AIM,Science,5,All,5,41.6
King County,Bellevue School District,AIM,Science,8,All,7,70
King County,Bellevue School District,EOC,Biology,10,All,1463,89.8
King County,Bellevue School District,MSP,Science,5,All,1273,83
King County,Bellevue School District,MSP,Science,8,All,1293,83.9
Whatcom County,Bellingham School District,SBA,ELA,3,All,427,49.1
Whatcom County,Bellingham School District,SBA,ELA,4,All,415,54.8
Whatcom County,Bellingham School District,SBA,ELA,5,All,514,60
Whatcom County,Bellingham School District,SBA,ELA,6,All,538,61.9
Whatcom County,Bellingham School District,SBA,ELA,7,All,566,70.3
Whatcom County,Bellingham School District,SBA,ELA,8,All,548,66.1
Whatcom County,Bellingham School District,SBA,ELA,11,All,706,84.1
Whatcom County,Bellingham School District,SBA,MATH,3,All,472,54.4
Whatcom County,Bellingham School District,SBA,MATH,4,All,451,59.4
Whatcom County,Bellingham School District,SBA,MATH,5,All,416,48.6
Whatcom County,Bellingham School District,SBA,MATH,6,All,429,49.4
Whatcom County,Bellingham School District,SBA,MATH,7,All,475,59.4
Whatcom County,Bellingham School District,SBA,MATH,8,All,441,53.1
Whatcom County,Bellingham School District,SBA,MATH,11,All,170,20.7
Whatcom County,Bellingham School District,AIM,ELA,3,All,7,70
Whatcom County,Bellingham School District,AIM,ELA,4,All,,
Whatcom County,Bellingham School District,AIM,ELA,5,All,,
Whatcom County,Bellingham School District,AIM,ELA,6,All,2,18.1
Whatcom County,Bellingham School District,AIM,ELA,7,All,,
Whatcom County,Bellingham School District,AIM,ELA,8,All,,
Whatcom County,Bellingham School District,AIM,ELA,11,All,,
Whatcom County,Bellingham School District,AIM,Math,3,All,5,50
Whatcom County,Bellingham School District,AIM,Math,4,All,,
Whatcom County,Bellingham School District,AIM,Math,5,All,,
Whatcom County,Bellingham School District,AIM,Math,6,All,4,36.3
Whatcom County,Bellingham School District,AIM,Math,7,All,,
Whatcom County,Bellingham School District,AIM,Math,8,All,,
Whatcom County,Bellingham School District,AIM,Math,11,All,,
Whatcom County,Bellingham School District,AIM,Science,5,All,,
Whatcom County,Bellingham School District,AIM,Science,8,All,,
Whatcom County,Bellingham School District,EOC,Biology,10,All,752,84.7
Whatcom County,Bellingham School District,MSP,Science,5,All,595,69.5
Whatcom County,Bellingham School District,MSP,Science,8,All,616,74.3
Pierce County,Bethel School District,SBA,ELA,3,All,830,53.4
Pierce County,Bethel School District,SBA,ELA,4,All,923,56.9
Pierce County,Bethel School District,SBA,ELA,5,All,878,59.8
Pierce County,Bethel School District,SBA,ELA,6,All,680,47.9
Pierce County,Bethel School District,SBA,ELA,7,All,737,51.9
Pierce County,Bethel School District,SBA,ELA,8,All,744,55.4
Pierce County,Bethel School District,SBA,ELA,11,All,988,72.4
Pierce County,Bethel School District,SBA,MATH,3,All,894,57.6
Pierce County,Bethel School District,SBA,MATH,4,All,876,54.1
Pierce County,Bethel School District,SBA,MATH,5,All,758,51.7
Pierce County,Bethel School District,SBA,MATH,6,All,527,37.2
Pierce County,Bethel School District,SBA,MATH,7,All,556,39.2
Pierce County,Bethel School District,SBA,MATH,8,All,497,37
Pierce County,Bethel School District,SBA,MATH,11,All,414,30.7
Pierce County,Bethel School District,AIM,ELA,3,All,15,53.5
Pierce County,Bethel School District,AIM,ELA,4,All,9,40.9
Pierce County,Bethel School District,AIM,ELA,5,All,10,40
Pierce County,Bethel School District,AIM,ELA,6,All,9,64.2
Pierce County,Bethel School District,AIM,ELA,7,All,6,50
Pierce County,Bethel School District,AIM,ELA,8,All,6,42.8
Pierce County,Bethel School District,AIM,ELA,11,All,21,77.7
Pierce County,Bethel School District,AIM,Math,3,All,14,50
Pierce County,Bethel School District,AIM,Math,4,All,12,57.1
Pierce County,Bethel School District,AIM,Math,5,All,15,60
Pierce County,Bethel School District,AIM,Math,6,All,11,73.3
Pierce County,Bethel School District,AIM,Math,7,All,8,61.5
Pierce County,Bethel School District,AIM,Math,8,All,7,46.6
Pierce County,Bethel School District,AIM,Math,11,All,,
Pierce County,Bethel School District,AIM,Science,5,All,12,48
Pierce County,Bethel School District,AIM,Science,8,All,6,42.8
Pierce County,Bethel School District,EOC,Biology,10,All,866,62.9
Pierce County,Bethel School District,MSP,Science,5,All,890,60.6
Pierce County,Bethel School District,MSP,Science,8,All,731,54.6
Klickitat County,Bickleton School District,SBA,ELA,3,All,,
Klickitat County,Bickleton School District,SBA,ELA,4,All,8,72.7
Klickitat County,Bickleton School District,SBA,ELA,5,All,,
Klickitat County,Bickleton School District,SBA,ELA,6,All,,
Klickitat County,Bickleton School District,SBA,ELA,7,All,,
Klickitat County,Bickleton School District,SBA,ELA,8,All,,
Klickitat County,Bickleton School District,SBA,ELA,11,All,,
Klickitat County,Bickleton School District,SBA,MATH,3,All,,
Klickitat County,Bickleton School District,SBA,MATH,4,All,6,54.5
Klickitat County,Bickleton School District,SBA,MATH,5,All,,
Klickitat County,Bickleton School District,SBA,MATH,6,All,7,70
Klickitat County,Bickleton School District,SBA,MATH,7,All,,
Klickitat County,Bickleton School District,SBA,MATH,8,All,,
Klickitat County,Bickleton School District,SBA,MATH,11,All,,
Klickitat County,Bickleton School District,AIM,ELA,8,All,,
Klickitat County,Bickleton School District,AIM,ELA,11,All,,
Klickitat County,Bickleton School District,AIM,Math,8,All,,
Klickitat County,Bickleton School District,AIM,Math,11,All,,
Klickitat County,Bickleton School District,AIM,Science,8,All,,
Klickitat County,Bickleton School District,EOC,Biology,10,All,,
Klickitat County,Bickleton School District,MSP,Science,5,All,,
Klickitat County,Bickleton School District,MSP,Science,8,All,,
Whatcom County,Blaine School District,SBA,ELA,3,All,91,55.1
Whatcom County,Blaine School District,SBA,ELA,4,All,101,56.1
Whatcom County,Blaine School District,SBA,ELA,5,All,79,46.1
Whatcom County,Blaine School District,SBA,ELA,6,All,78,45.6
Whatcom County,Blaine School District,SBA,ELA,7,All,95,60.8
Whatcom County,Blaine School District,SBA,ELA,8,All,79,50.9
Whatcom County,Blaine School District,SBA,ELA,11,All,133,85.8
Whatcom County,Blaine School District,SBA,MATH,3,All,99,60
Whatcom County,Blaine School District,SBA,MATH,4,All,102,56.9
Whatcom County,Blaine School District,SBA,MATH,5,All,78,45.3
Whatcom County,Blaine School District,SBA,MATH,6,All,64,37.2
Whatcom County,Blaine School District,SBA,MATH,7,All,82,52.5
Whatcom County,Blaine School District,SBA,MATH,8,All,56,35.8
Whatcom County,Blaine School District,SBA,MATH,11,All,60,38.9
Whatcom County,Blaine School District,AIM,ELA,3,All,,
Whatcom County,Blaine School District,AIM,ELA,4,All,,
Whatcom County,Blaine School District,AIM,ELA,6,All,,
Whatcom County,Blaine School District,AIM,ELA,11,All,,
Whatcom County,Blaine School District,AIM,Math,3,All,,
Whatcom County,Blaine School District,AIM,Math,4,All,,
Whatcom County,Blaine School District,AIM,Math,6,All,,
Whatcom County,Blaine School District,AIM,Math,11,All,,
Whatcom County,Blaine School District,EOC,Biology,10,All,114,74
Whatcom County,Blaine School District,MSP,Science,5,All,116,68.2
Whatcom County,Blaine School District,MSP,Science,8,All,100,63.6
Lewis County,Boistfort School District,SBA,ELA,3,All,,
Lewis County,Boistfort School District,SBA,ELA,4,All,6,40
Lewis County,Boistfort School District,SBA,ELA,5,All,,
Lewis County,Boistfort School District,SBA,ELA,6,All,,
Lewis County,Boistfort School District,SBA,ELA,7,All,,
Lewis County,Boistfort School District,SBA,ELA,8,All,,
Lewis County,Boistfort School District,SBA,MATH,3,All,,
Lewis County,Boistfort School District,SBA,MATH,4,All,3,20
Lewis County,Boistfort School District,SBA,MATH,5,All,,
Lewis County,Boistfort School District,SBA,MATH,6,All,,
Lewis County,Boistfort School District,SBA,MATH,7,All,,
Lewis County,Boistfort School District,SBA,MATH,8,All,,
Lewis County,Boistfort School District,MSP,Science,5,All,,
Lewis County,Boistfort School District,MSP,Science,8,All,,
Kitsap County,Bremerton School District,SBA,ELA,3,All,225,48.1
Kitsap County,Bremerton School District,SBA,ELA,4,All,178,42.6
Kitsap County,Bremerton School District,SBA,ELA,5,All,220,54.8
Kitsap County,Bremerton School District,SBA,ELA,6,All,136,38.9
Kitsap County,Bremerton School District,SBA,ELA,7,All,133,40.5
Kitsap County,Bremerton School District,SBA,ELA,8,All,137,43
Kitsap County,Bremerton School District,SBA,ELA,11,All,191,64.3
Kitsap County,Bremerton School District,SBA,MATH,3,All,250,53.6
Kitsap County,Bremerton School District,SBA,MATH,4,All,174,41.9
Kitsap County,Bremerton School District,SBA,MATH,5,All,184,45.8
Kitsap County,Bremerton School District,SBA,MATH,6,All,114,32.5
Kitsap County,Bremerton School District,SBA,MATH,7,All,100,30.4
Kitsap County,Bremerton School District,SBA,MATH,8,All,93,28.7
Kitsap County,Bremerton School District,SBA,MATH,11,All,70,24.4
Kitsap County,Bremerton School District,AIM,ELA,3,All,,
Kitsap County,Bremerton School District,AIM,ELA,4,All,,
Kitsap County,Bremerton School District,AIM,ELA,5,All,,
Kitsap County,Bremerton School District,AIM,ELA,6,All,,
Kitsap County,Bremerton School District,AIM,ELA,7,All,,
Kitsap County,Bremerton School District,AIM,ELA,11,All,,
Kitsap County,Bremerton School District,AIM,Math,3,All,,
Kitsap County,Bremerton School District,AIM,Math,4,All,,
Kitsap County,Bremerton School District,AIM,Math,5,All,,
Kitsap County,Bremerton School District,AIM,Math,6,All,,
Kitsap County,Bremerton School District,AIM,Math,7,All,,
Kitsap County,Bremerton School District,AIM,Math,11,All,,
Kitsap County,Bremerton School District,AIM,Science,5,All,,
Kitsap County,Bremerton School District,EOC,Biology,10,All,182,63.8
Kitsap County,Bremerton School District,MSP,Science,5,All,251,62.7
Kitsap County,Bremerton School District,MSP,Science,8,All,181,55.8
Okanogan County,Brewster School District,SBA,ELA,3,All,26,33.3
Okanogan County,Brewster School District,SBA,ELA,4,All,22,30.1
Okanogan County,Brewster School District,SBA,ELA,5,All,21,26.5
Okanogan County,Brewster School District,SBA,ELA,6,All,23,38.9
Okanogan County,Brewster School District,SBA,ELA,7,All,22,32.3
Okanogan County,Brewster School District,SBA,ELA,8,All,25,37.3
Okanogan County,Brewster School District,SBA,ELA,11,All,39,59
Okanogan County,Brewster School District,SBA,MATH,3,All,31,40.2
Okanogan County,Brewster School District,SBA,MATH,4,All,23,31.5
Okanogan County,Brewster School District,SBA,MATH,5,All,11,13.9
Okanogan County,Brewster School District,SBA,MATH,6,All,17,28.3
Okanogan County,Brewster School District,SBA,MATH,7,All,17,25
Okanogan County,Brewster School District,SBA,MATH,8,All,27,40.2
Okanogan County,Brewster School District,SBA,MATH,11,All,12,18.4
Okanogan County,Brewster School District,AIM,ELA,7,All,,
Okanogan County,Brewster School District,AIM,ELA,8,All,,
Okanogan County,Brewster School District,AIM,Math,7,All,,
Okanogan County,Brewster School District,AIM,Math,8,All,,
Okanogan County,Brewster School District,AIM,Science,8,All,,
Okanogan County,Brewster School District,EOC,Biology,10,All,30,50
Okanogan County,Brewster School District,MSP,Science,5,All,22,27.8
Okanogan County,Brewster School District,MSP,Science,8,All,26,38.8
Douglas County,Bridgeport School District,SBA,ELA,3,All,14,16
Douglas County,Bridgeport School District,SBA,ELA,4,All,9,12.6
